Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
122013A,Proserpine River at Glen Isla,12/1/2021 8:28,0.04,<0.01,0.15,<0.02,0.3,<0.02,<0.05,<0.02,0.38,0.21,0.9,<0.02,0.02,0.15,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,18/1/2021 9:25,<0.02,<0.01,0.09,<0.02,0.2,<0.02,<0.05,<0.02,0.24,0.14,0.3,<0.02,<0.01,0.07,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,25/1/2021 11:55,0.03,<0.01,0.07,<0.02,0.12,<0.02,<0.05,<0.02,0.3,0.23,0.35,0.03,<0.01,0.08,<0.02,<0.02,<0.05,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,11/2/2021 15:30,0.45,<0.01,0.07,<0.02,0.05,<0.02,<0.05,<0.02,0.66,0.25,0.1,<0.02,0.12,0.03,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,27/2/2021 17:22,0.62,<0.01,1.6,<0.02,0.14,<0.02,0.4,0.05,1.1,0.39,0.1,0.09,<0.01,0.14,<0.05,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,28/2/2021 9:26,0.43,<0.01,1.2,<0.02,0.6,<0.02,<0.05,<0.02,0.55,0.3,0.21,0.06,<0.01,0.08,<0.05,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,28/2/2021 21:21,0.29,<0.01,0.8,<0.05,0.69,<0.02,0.35,<0.02,0.31,0.17,0.22,0.02,0.22,0.07,<0.05,<0.02,<0.05,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,1/3/2021 3:25,0.33,<0.01,0.56,<0.05,0.62,<0.02,0.38,<0.02,0.37,0.16,0.23,0.02,0.21,0.06,<0.05,<0.02,<0.05,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,1/3/2021 7:10,0.45,<0.01,0.68,<0.05,0.59,<0.02,0.37,<0.02,0.31,0.15,0.22,<0.02,0.18,0.07,<0.05,<0.02,<0.05,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,2/3/2021 6:05,0.24,<0.01,1.1,<0.05,0.38,<0.02,0.24,<0.02,0.39,0.19,0.2,0.06,0.13,0.05,<0.05,<0.02,<0.05,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,12/3/2021 14:20,<0.05,<0.01,0.19,<0.02,0.14,<0.02,<0.05,<0.02,0.14,0.09,0.06,<0.05,<0.01,0.01,<0.05,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,19/3/2021 16:45,1.6,<0.01,0.05,<0.02,0.18,<0.02,<0.05,<0.02,0.09,0.09,0.19,<0.05,0.1,0.01,<0.05,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,20/3/2021 10:25,1,<0.01,0.09,<0.02,0.32,<0.02,<0.05,0.04,0.12,0.15,0.18,<0.05,<0.01,0.36,<0.05,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,26/3/2021 7:16,<0.05,<0.01,0.12,<0.02,0.19,<0.02,<0.05,<0.02,0.09,0.13,0.16,<0.05,0.07,0.04,<0.05,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,16/4/2021 8:25,<0.05,<0.01,0.02,<0.02,<0.05,<0.02,<0.05,<0.02,0.06,0.05,0.03,<0.05,<0.01,<0.01,<0.05,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,4/5/2021 13:10,<0.05,<0.01,<0.02,<0.02,0.02,<0.02,<0.05,<0.02,0.07,0.07,0.02,<0.05,<0.01,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.1
122013A,Proserpine River at Glen Isla,7/6/2021 14:30,<0.02,<0.01,<0.02,<0.02,<0.02,<0.02,<0.05,<0.02,0.08,0.08,<0.02,<0.05,<0.02,<0.01,<0.02,<0.05,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,7/7/2021 17:30,0.02,<0.01,0.12,<0.02,<0.02,<0.02,<0.05,<0.02,0.05,0.05,<0.02,<0.1,<0.01,0.08,<0.02,<0.05,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,10/11/2021 9:06,<0.02,<0.01,0.11,<0.02,<0.02,<0.02,<0.05,<0.02,0.22,0.04,<0.02,<0.02,<0.01,0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,26/11/2021 9:17,2,<0.01,0.42,<0.02,5.5,<0.02,0.46,<0.02,2.4,0.52,1.6,0.36,0.64,0.7,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,0.57,<0.05
